new_words,seconds_trans,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,seconds2_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,delta2,lowAlpha2,highAlpha2,lowBeta2,highBeta2,lowGamma2,middleGamma2,theta2
for Mike those I'll start with my point of view first,80,2,1,0,0,1,0,80,2,2,0,0,0,0,-1.565,-1.21,-1.437,-1.371,-0.532,-0.599,-1.702,-1.344,-1.543,-1.353,-1.537,-1.41,-0.765,-1.168,-1.293,-1.628
off these people giving these who came to this country came here basically,85,2,2,0,0,0,0,85,2,2,0,0,0,0,-0.986,-0.668,-1.145,-0.902,1.63,-0.182,0.357,-0.777,-1.385,-1.478,-1.38,-1.293,-0.524,-0.746,-2.797,-1.777
to seek shelter from the war right the many wars I've been going on these people,90,2,2,0,0,0,0,90,3,2,0,0,0,0,-1.097,-0.932,-1.295,-1.284,-0.021,0.417,0.839,-1.476,-1.349,-1.476,-1.471,-1.386,-0.74,-0.805,-2.267,-2.014
ran away from it they don't want to participate in the war and they were basically,95,2,2,0,0,0,0,95,3,2,0,0,0,0,-1.482,-1.562,-1.544,-1.367,-0.995,-1.119,-0.829,-1.879,-1.249,-1.4,-1.423,-1.276,-0.785,-0.654,-1.978,-1.814
you know stripping from their rights to be safe and be educated,100,2,2,0,0,0,0,100,2,2,0,0,0,0,-1.388,-1.125,-1.463,-1.199,-0.174,-0.195,-1.64,-1.756,-1.139,-0.979,-1.157,-1.093,-0.332,-0.4,-0.822,-1.519
and those kind of stuff and that's why they came to this country and not allowing them to,105,2,2,0,0,0,0,105,2,2,0,0,0,0,-1.462,-1.297,-1.594,-1.343,-0.798,-1.092,-1.691,-1.793,-1.03,-1.242,-1.215,-1.187,0.289,0.407,-1.629,-0.86
stay in this country even though we actually made it into law that we could take them,110,2,2,0,0,0,0,110,2,2,0,0,0,0,-1.281,-1.265,-1.476,-1.254,-0.793,-0.843,-2.018,-1.846,-1.312,-1.302,-1.35,-1.293,-0.337,-0.484,-1.06,-1.085
in b.o.b.,115,1,2,0,0,0,0,115,2,2,0,0,0,0,-1.546,-1.412,-1.455,-1.259,-0.831,-0.796,-2.375,-1.826,-1.554,-1.426,-1.572,-1.354,-0.651,-0.871,-1.278,-1.78
it be what it called you know if he trying,120,2,2,0,0,0,0,120,2,2,0,0,0,0,-1.324,-1.278,-1.459,-1.194,-0.699,-0.946,-0.914,-1.772,-1.153,-1.236,-1.07,-1.201,-0.075,0.079,-1.318,-1.548
to you know say that you're a nice person but only that be a facade right,125,2,2,0,0,0,0,125,2,1,0,0,1,0,-1.602,-1.522,-1.605,-1.409,-1.05,-1.204,-2.639,-1.993,-0.275,-0.922,-1.293,-1.142,0.594,-0.016,0.578,-0.699
you're actually a bad person but not lying not for not allowing them to be in here and,130,2,2,0,0,0,0,130,2,1,0,0,2,0,-1.562,-1.207,-1.493,-1.384,-0.858,-1.089,-2.631,-1.839,-1.208,-1.327,-1.066,-1.073,0.012,-0.077,-0.753,-1.148
that was one of the basic human rights issues and the second point would be,135,2,2,0,0,0,0,135,3,1,0,0,1,0,-1.709,-1.627,-1.624,-1.42,-1.035,-1.329,-2.845,-2.025,-1.353,-1.101,-1.416,-1.336,-0.348,-0.632,-1.356,-1.65
Koreans are not letting them because they think they are racist and rapists and,140,2,2,0,0,0,0,140,3,1,0,0,1,0,-1.244,-0.924,-1.456,-1.338,-0.881,-1.003,-0.921,-1.544,-1.59,-1.525,-1.571,-1.411,-0.722,-1.133,-1.362,-1.839
terrorists right but those things are not TRUE since,145,2,2,0,0,0,0,145,3,1,0,0,2,0,-1.694,-1.58,-1.617,-1.437,-1.15,-1.163,-2.758,-1.996,-1.405,-1.077,-1.351,-1.297,0.364,-0.286,-1.354,-1.747
they ran away from that were they are the people who don't do not like violence,150,2,2,0,0,0,0,150,3,2,0,0,0,0,-1.522,-1.295,-1.448,-1.325,-0.696,-0.988,-2.588,-1.953,-0.992,-1.165,-0.949,-1.143,-0.074,0.295,0.493,-0.128
so that's one of the main points that you could say that they don't do it like that,155,2,2,0,0,0,0,155,2,2,0,0,0,0,-1.651,-1.582,-1.615,-1.43,-0.679,-0.993,-2.642,-1.898,-0.733,-0.24,-0.929,-1.098,1.969,1.998,0.333,-0.914
okay so it's our your first point was that you can you tell me your first one again,160,2,2,0,0,0,0,160,2,2,0,0,0,0,-1.573,-1.398,-1.526,-1.303,-0.975,-1.124,-2.863,-1.986,-0.562,-0.632,-0.956,-1.086,1.35,1.442,-0.053,-0.908
so people get it's a basic human rights,165,2,2,0,0,0,0,165,2,2,0,0,0,0,-1.531,-1.49,-1.374,-1.378,-0.663,-1.14,-1.326,-1.696,-0.96,-0.129,-0.604,-1.046,2.36,2.93,-0.648,0.074
issue Koreans made a law that would allow them to come,170,2,2,0,0,0,0,170,2,2,0,0,1,0,-0.891,-0.931,-1.304,-1.177,0.752,0.247,0.689,-0.473,-1.027,-0.764,-1.156,-1.2,0.622,2.408,-0.521,-0.736
into the country to seek shelter although since they made the,175,2,2,0,0,0,0,175,2,2,0,0,1,0,-1.498,-1.527,-1.498,-1.229,-0.42,-0.408,-1.724,-1.64,-1.284,-1.154,-0.909,-1.187,1.395,1.695,-0.102,-1.167
system right it they are basically allowing it but once it happens,180,2,2,0,0,0,0,180,2,2,0,0,0,0,-1.27,-1.344,-1.493,-1.327,-0.054,-0.472,0.286,-1.752,-0.953,-0.883,-0.984,-1.009,0.147,0.106,-1.997,-0.616
they're not allowing allowing it so it's basically going against what they originally,185,2,2,0,0,0,0,185,3,2,0,0,0,0,-1.15,-1.655,-1.153,-1.146,0.328,-0.214,-2.746,-1.682,-0.635,-0.002,-0.451,-0.59,0.107,0.383,1.465,-1.293
set their phones so you're saying you don't want to be like controversial,190,2,2,0,0,0,0,190,3,2,0,0,0,0,-1.563,-1.565,-1.56,-1.415,-0.76,-1.146,-1.983,-1.961,-1.04,-0.978,-0.42,-0.764,2.54,1.171,0.133,-0.427
yeah basically what you're trying to say well I think,195,2,2,0,0,0,0,195,3,2,0,0,0,0,-1.136,-1.23,-1.473,-1.247,-0.597,-1.061,-1.427,-1.653,-1.105,-0.114,-0.553,-0.96,2.06,0.785,0.647,-0.099
the ideal is good the idea of letting refugees in Turkey a country is good but,200,2,2,0,0,0,0,200,3,2,0,0,0,0,-1.684,-1.604,-1.557,-1.403,-0.984,-1.157,-2.501,-1.944,-1.702,-1.323,-1.418,-1.339,-0.66,-0.347,-1.177,-1.616
for the case of the yemenis refugees seeing this Mass influx especially,205,2,2,0,0,0,0,205,3,2,0,0,0,0,-1.458,-1.376,-1.487,-1.29,-0.571,-0.849,-0.996,-1.552,-1.532,-1.301,-1.45,-1.375,-0.76,-0.511,-1.668,-1.752
in Korea which is a much other countries with much more limited resources that countries,210,2,2,0,0,0,0,210,3,2,1,0,0,0,-1.144,-1.101,-1.132,-1.17,0.019,0.31,-0.466,-1.197,-0.982,-1.106,-0.862,-1.098,0.199,-0.042,-0.57,-1.416
in like Europe or America could possibly be seen as threatening to the community,215,2,2,0,0,0,0,215,2,2,0,0,0,0,-1.278,-0.936,-1.358,-1.327,0.194,-0.558,-1.068,-1.165,-1.159,-1.23,-1.359,-1.332,-0.439,-0.893,-2.986,-1.941
people especially because it's only the island of JeJu and judge it was a very small part of Korea,220,2,2,0,0,0,0,220,2,2,0,0,0,0,-1.323,-1.396,-1.328,-1.254,0.169,0.054,-1.303,-1.363,-1.369,-1.294,-1.399,-1.301,-0.89,-0.954,-1.862,-1.657
with a much more limited population so yeah,225,2,2,0,0,0,0,225,2,2,0,0,0,0,-1.434,-1.23,-1.423,-1.306,-0.384,-0.304,-0.373,-1.213,-1.53,-1.479,-1.532,-1.404,-0.953,-1.156,-2.684,-1.904
yeah and I guess I guess that's kind of TRUE but you know the other point is,230,2,2,0,0,0,0,230,2,2,0,0,0,0,-0.739,-0.935,-1.077,-1.068,0.654,0.957,-1.351,-0.709,-1.286,-1.543,-1.461,-1.331,-0.909,-1.133,-2.103,-1.634
that those yemenis are only 500 people right over the course of,235,2,2,0,0,0,0,235,2,2,0,0,0,0,-0.862,-0.844,-1.381,-1.336,-0.226,0.399,-1.126,-0.895,-1.486,-1.523,-1.495,-1.383,-1.072,-0.984,-2.158,-1.912
these years thousand North Koreans came to this country and you know if you think about,240,2,2,0,0,0,0,240,2,2,0,0,0,0,-0.486,-0.882,-0.64,-0.421,5.4,3.356,1.454,0.152,-1.24,-1.471,-1.482,-1.352,-0.626,-0.738,-1.404,-0.926
that North Koreans are currently we're at War stating their,245,2,2,0,0,0,0,245,2,2,0,0,0,0,-1.528,-1.51,-1.555,-1.32,-0.941,-1.185,-2.398,-1.536,-1.195,-1.419,-1.367,-1.023,-0.595,-0.762,-1.64,-1.753
these bad people you know according to like the 50s and,250,2,2,0,0,0,0,250,2,2,1,0,0,0,-1.582,-1.618,-1.598,-1.358,-1.066,-1.247,-2.842,-1.954,-1.201,-1.059,-1.2,-1.206,0.101,-0.433,-0.393,-0.542
60s people they are these bad people with the other Notions and there they could they,255,2,2,0,0,0,0,255,3,2,1,0,0,0,-1.611,-1.427,-1.555,-1.366,-1.045,-1.243,-2.071,-1.915,-1.582,-1.396,-1.481,-1.313,-0.474,-0.467,-1.729,-1.607
have the highest possibility of being spies right so in that kind of view yemenis,260,2,2,0,0,0,0,260,3,2,1,0,0,0,-1.685,-1.23,-1.517,-1.389,-0.992,-1.098,-1.738,-1.776,-1.247,-1.422,-1.158,-1.088,0.725,0.227,0.27,-0.452
they're only here to seek shelter they're not here to terrorize or anything like that it can't cats eat for see anything like that but North Koreans coming,265,2,2,0,0,0,0,265,3,2,1,0,0,0,-1.384,-1.389,-1.53,-1.32,-0.85,-1.17,-2.7,-1.587,-1.161,-1.18,-1.176,-1.228,-0.375,-0.351,-1.019,-1.384
to this country for seeking shelter could be a bigger issue than that then why are we allowing North Koreans,270,2,2,0,0,0,0,270,3,1,0,0,1,0,-1.655,-1.264,-1.584,-1.37,-1.103,-1.188,-2.818,-2.028,-1.212,-0.991,-1.061,-1.137,0.886,0.787,1.037,-0.075
to come here but not the yemenis well,275,2,2,0,0,0,0,275,3,2,0,0,1,0,-1.508,-1.444,-1.555,-1.388,-0.909,-1.146,-2.507,-1.869,-1.316,-0.134,-1.34,-1.322,0.974,0.034,-1.426,-0.381
that is a good point on a human rights level the,280,3,2,0,0,0,0,280,3,2,1,0,0,0,-1.511,-1.523,-1.54,-1.369,-1.151,-1.208,-2.711,-1.857,-0.991,-1.195,-1.146,-1.013,1.531,0.62,1.589,-1.025
I think they could be viewed in the same way but from a Korean,285,3,2,0,0,1,0,285,3,2,1,0,0,0,-1.526,-1.57,-1.58,-1.389,-0.903,-1.174,-2.793,-1.94,-1.131,-1.363,-1.33,-1.279,0.02,-0.585,-2.421,-1.95
citizens perspective North Korea is still,290,2,2,0,0,1,0,290,3,2,1,0,0,0,-1.577,-1.519,-1.535,-1.36,-0.581,-0.758,-1.954,-1.872,-1.052,-1.399,-1.181,-1.145,0.63,-0.101,-1.261,-1.193
part of current it can still be viewed as an extension of Korea that was just simply divided because the war,295,2,2,0,0,1,0,295,3,2,1,0,0,0,-1.45,-1.18,-1.491,-1.334,-0.56,-0.813,-1.953,-1.501,-1.337,-1.486,-1.489,-1.4,-0.746,-0.624,-2.952,-2.003
and especially because it was only a career isn't was only divided like 50 or 60,300,2,2,0,0,1,0,300,3,2,1,1,0,0,-0.894,-0.7,-1.059,-0.939,3.208,1.347,0.468,-0.069,-1.335,-1.367,-1.312,-1.282,-0.444,-0.847,-2.902,-1.865
70 years ago we share the same language we have a very similar culture,305,2,2,0,0,1,0,305,3,2,1,0,0,0,-1.467,-1.212,-1.526,-1.355,-0.788,-0.83,-1.303,-0.977,-1.284,-1.483,-1.434,-1.342,-0.204,-0.713,-2.923,-1.916
but for the yemenis I think it's possible that Korean citizens can view them as Outsiders,310,2,2,0,0,1,0,310,3,3,1,0,0,0,-1.271,-1.065,-1.063,-1.23,0.542,0.736,-0.274,-1.636,-1.421,-1.424,-1.374,-1.369,-0.656,-0.804,-1.921,-1.981
and I think we should recognize the like,315,2,2,0,0,0,0,315,2,2,0,0,0,0,-1.23,-1.235,-1.26,-1.253,0.384,-0.039,-0.863,-0.25,-1.51,-1.528,-1.456,-1.314,-0.733,-0.791,-2.771,-1.848
Korea is a country for Koreans and we should respect the Korean citizens,320,2,2,0,0,0,0,320,2,2,0,0,0,0,-1.344,-1.431,-1.285,-1.277,-0.108,-0.436,-1.709,-1.384,-1.454,-1.504,-1.443,-1.353,-0.771,-0.703,-2.849,-1.851
perspective of like like this nationalism,325,2,2,0,0,0,0,325,2,2,0,0,0,0,-1.519,-1.324,-1.571,-1.422,-0.842,-1.005,-2.178,-1.706,-1.393,-1.475,-1.518,-1.334,-0.412,-0.537,-2.846,-1.787
yes I guess yeah that's one of them is good and no Koreans first cuz we are here,330,2,2,0,0,0,0,330,2,2,0,0,0,0,-1.186,-0.931,-1.289,-1.287,-0.165,-0.393,-0.296,-0.611,-1.288,-1.28,-1.471,-1.302,-0.852,-0.851,-2.347,-1.636
is actually a good point well I'm not against it but um,335,2,2,0,0,0,0,335,2,2,0,0,0,0,-1.326,-1.058,-1.499,-1.329,-0.638,-0.501,-1.959,-1.581,-1.35,-1.23,-1.4,-1.257,-0.723,-0.285,-1.417,-1.568
these days you know all over the world we're talking about globalism,340,2,2,0,0,0,0,340,2,2,0,0,0,0,-1.507,-1.482,-1.532,-1.372,-0.845,-1.131,-2.29,-1.926,-0.618,-0.181,-0.869,-1.08,0.934,0.634,0.313,0.312
and like we're talking about how other races are living in other countries,345,2,2,0,0,0,0,345,2,2,0,0,0,0,-1.378,-1.346,-1.448,-1.311,-0.923,-1.068,-2.108,-1.575,-1.198,-0.989,-1.428,-1.352,-0.432,-0.416,-1.265,-1.194
we already know that being a racist in America is a big issue and,350,2,2,0,0,0,0,350,2,2,0,0,0,0,-1.546,-1.39,-1.492,-1.372,-0.83,-1.172,-2.278,-1.861,-1.294,-1.409,-1.331,-1.25,-0.495,-0.581,1.972,-1.569
like it's just between whites and blacks and those were all occurring issues,355,2,2,0,0,0,0,355,2,2,0,0,0,0,-1.415,-1.186,-1.512,-1.296,-0.947,-1.171,-1.884,-1.56,-1.618,-1.505,-1.451,-1.381,-0.911,-0.818,-2.593,-1.883
for the last century right and everyone in the world,360,2,1,0,0,1,0,360,2,2,0,0,0,0,-1.52,-1.16,-1.486,-1.239,-0.904,-1.17,-2.163,-1.58,-0.921,-0.49,-0.505,-0.876,1.985,2.849,0.553,-0.308
right now like I guess kind of agrees that being a racist is bad but isn't,365,2,1,0,0,1,0,365,3,1,0,0,0,0,-1.584,-1.546,-1.544,-1.38,-0.984,-1.263,-2.756,-1.794,-1.263,-0.782,-1.186,-1.045,0.183,1.193,-0.251,-1.394
that basically what we're trying to were really doing here in Korea being a racist rejecting,370,2,2,0,0,0,0,370,3,1,0,0,1,0,-1.571,-1.505,-1.561,-1.349,-0.767,-1.159,-2.356,-1.943,-1.08,-1.314,-1.088,-1.145,0.959,0.609,-1.608,-1.271
the other culture without knowing anything about them calling them terrorists rapists,375,2,2,0,0,0,0,375,3,2,0,0,0,0,-1.567,-1.372,-1.567,-1.406,-0.917,-1.203,-2.449,-1.764,-1.236,-1.326,-1.288,-1.25,0.023,-0.064,-0.567,-0.369
and stuff like that I lived in Saudi Arabia for two years and come on that's one of the biggest,380,2,2,0,0,0,0,380,3,2,0,0,0,0,-1.712,-1.223,-1.601,-1.444,-0.978,-1.221,-2.013,-1.935,-0.889,-0.876,-0.856,-1.129,0.834,1.718,2.444,-0.91
countries for you know as long as people and over there those people,385,2,2,0,0,0,0,385,3,2,0,0,0,0,-1.397,-1.44,-1.456,-1.391,-0.975,-0.941,-2.123,-1.956,-0.983,-0.895,-1.265,-1.093,0.611,0.912,-0.186,-1.095
were really nice and I've loved like I didn't get to know their culture or anything like that but if you don't,390,2,2,0,0,0,0,390,3,2,0,0,0,0,-1.628,-1.512,-1.561,-1.384,-0.89,-1.224,-1.794,-1.915,-0.478,-0.934,-1.083,-0.919,0.172,0.52,0.517,-1.294
and they're really nice and,395,2,2,0,0,0,0,395,3,2,0,0,0,0,-1.577,-1.475,-1.587,-1.426,-1.012,-1.111,-2.122,-1.952,-1.545,-1.326,-1.498,-1.435,-0.783,-0.828,-1.121,-1.766
you know you have before before the religion like everyone like I bet everybody,400,2,2,0,0,0,0,400,3,2,0,0,0,0,-1.447,-1.515,-1.552,-1.261,-0.876,-1.049,-2.176,-1.809,-1.334,-1.027,-1.313,-1.29,0.47,0.06,-0.781,-0.723
like has this kind of compassionate Easy Motion everyone can relate to these emotions,405,2,2,0,0,0,0,405,3,2,0,0,0,0,-1.407,-1.486,-1.557,-1.397,-1.016,-1.11,-2.36,-1.855,-1.079,-1.051,-1.147,-1.166,0.07,0.021,-1.599,-1.538
and those are the basic you know human stuff I guess and,410,2,2,0,0,0,0,410,3,2,0,0,0,0,-1.445,-1.274,-1.516,-1.356,-0.681,-1.128,-2.011,-1.879,-1.558,-1.386,-1.501,-1.324,-0.66,-0.764,-1.068,-1.854
if you get to know those stuff then would have people be more likely,415,2,2,0,0,0,0,415,3,2,0,0,0,0,-1.626,-1.448,-1.606,-1.394,-1.059,-1.176,-1.879,-1.815,-0.834,-1.007,-0.779,-1.092,0.149,-0.414,1.523,-0.829
to like connect to be 70s and or be more compassionate towards them so yeah it's,420,2,2,0,0,0,0,420,3,2,0,0,0,0,-1.562,-1.24,-1.499,-1.341,-0.804,-0.887,-2.101,-1.586,-1.525,-1.369,-1.469,-1.36,-0.795,-1.045,-1.305,-1.521
like judging a book by it's cover I guess I definitely,425,2,2,0,0,0,0,425,3,2,0,0,0,0,-1.506,-1.506,-1.417,-1.299,-0.174,-0.688,-2.114,-1.478,-1.177,-1.56,-1.372,-1.269,0.036,-0.373,-1.962,-1.776
do agree that that we shouldn't reject them as refugees because of,430,2,2,0,0,0,0,430,3,2,0,0,0,0,-1.202,-0.979,-1.278,-1.268,-0.207,-0.216,0.049,-1.007,-1.09,-1.28,-1.316,-1.262,0.694,-0.255,-2.675,-1.695
this racist image but I think going Beyond racism it's more about national,435,2,2,0,0,0,0,435,3,2,0,0,0,0,-1.383,-1.38,-1.4,-1.174,-0.127,-0.568,-0.319,-1.366,-1.002,-1.342,-1.295,-1.232,0.028,-0.871,-0.951,-1.854
interests so each person in the world is part of a country there are citizens,440,2,2,0,0,0,0,440,3,2,0,0,0,0,-1.027,-1.004,-1.214,-1.193,0.209,0.24,-0.759,-1.059,-0.914,-1.497,-1.339,-1.197,-0.275,-0.515,-2.736,-2.042
of a country and that that country has its own government and the government is supposed to work in,445,2,2,0,0,0,0,445,3,2,0,0,0,0,-1.11,-0.956,-1.079,-0.821,1.279,1.207,-0.014,-0.865,-1.281,-1.428,-1.435,-1.381,0.004,-0.827,-3.004,-2.004
the interest of his people and I don't think it's a bad thing that,450,2,2,0,0,0,0,450,3,2,0,0,0,0,-0.926,-0.798,-1.245,-0.555,0.843,0.05,-0.073,-0.353,-1.43,-1.41,-1.382,-1.305,0.408,-0.272,-2.43,-1.97
Korea should try to focus more on the citizens I definitely,455,2,2,0,0,0,0,455,3,2,0,0,0,0,-0.228,-0.5,-0.549,-0.516,3.829,3.361,0.186,-0.832,-1.219,-1.446,-1.514,-1.374,-0.551,-0.737,-3.027,-1.99
think that we idealistically we should let these people in,460,2,2,0,0,0,0,460,3,2,0,0,0,0,-1.408,-1.401,-1.402,-1.15,-0.003,-0.082,-1.605,-1.441,-1.549,-1.509,-1.48,-1.421,-0.74,-1.141,-2.774,-1.88
and from the view of from Human Rights Viewpoint is that it definitely is good but,465,2,2,0,0,0,0,465,2,2,0,0,0,0,-0.754,-1.107,-1.274,-1.172,-0.133,0.059,0.138,-1.401,-1.458,-1.12,-1.474,-1.321,-0.229,-0.544,-1.523,-1.928
from the perspective of the Korean citizen in might be a better idea I can,470,2,2,0,0,0,0,470,2,2,0,0,0,0,-1.261,-0.923,-1.298,-1.256,1.036,1.191,-1.313,-1.493,-1.32,-1.42,-1.447,-1.312,-0.494,-0.761,-2.557,-1.816
definitely understand why people would prefer to spend more tax money on,475,3,2,0,0,0,0,475,2,2,0,0,0,0,-1.63,-1.408,-1.469,-1.329,-0.689,-1.034,-1.907,-1.719,-1.565,-1.499,-1.477,-1.238,-0.499,-0.925,-1.608,-1.473
improving more imminent problems with using the Korea Society,480,3,2,0,0,0,0,480,2,2,0,0,0,0,-1.091,-1.174,-1.468,-1.267,-0.328,-0.76,-2.577,-1.293,-1.306,-1.232,-1.316,-1.081,0.296,-0.595,-0.956,-1.001
so we're imminent problems you say,485,3,2,0,0,0,0,485,2,2,0,0,0,0,-1.496,-1.207,-1.452,-1.283,-0.04,-0.886,-1.559,-1.848,-1.412,-0.811,-1.494,-1.17,-0.3,-0.603,-1.769,-1.136
and you said that like the youth unemployment problem is pretty big and like,490,2,2,0,0,0,0,490,2,2,0,0,0,0,-1.334,-1.508,-1.555,-1.323,-1.015,-1.237,-2.108,-1.843,-1.373,-1.336,-1.345,-1.299,-0.276,-0.489,-0.596,-1.683
I agree and like youth problems their unemployment they're big but the current issue,495,2,2,0,0,0,0,495,2,2,0,0,0,0,-1.537,-1.415,-1.485,-1.287,-1.077,-1.248,-1.93,-1.722,-1.387,-1.363,-1.35,-1.22,-0.263,-0.728,-1.753,-1.019
is I mean he's our hearing Jeju Island and if you don't,500,2,2,0,0,1,0,500,2,2,0,0,0,0,-1.18,-1.221,-1.417,-1.274,-0.74,-1.069,-0.926,-1.81,-1.49,-1.453,-1.497,-1.355,-0.845,-0.59,-1.74,-1.422
do anything it's just going to escalate from that point right so I guess,505,2,2,0,0,0,0,505,2,2,0,0,0,0,-1.48,-1.468,-1.467,-1.217,-0.906,-0.989,-2.445,-1.729,-1.29,-0.148,-1.232,-0.849,1.421,0.572,0.229,-0.836
in my opinion regarding recording the Jeju Island,5,3,2,0,1,2,0,5,2,2,0,0,0,0,-1.288,-1.224,-1.235,-1.237,-0.265,-0.215,-0.913,-1.393,-1.383,-1.192,-1.19,-1.198,1.146,0.302,-1.799,-1.308
Refugee crisis I I argued that South Korea should,10,3,2,0,1,1,0,10,2,2,0,0,0,0,-1.318,-1.192,-1.363,-1.265,-0.476,-0.774,-0.49,-1.158,-0.776,-1.24,-0.234,-0.844,3.349,3.595,-1.207,-0.571
help South Korea should I said except these refugees and,15,3,2,0,1,1,0,15,2,2,0,0,0,0,-1.448,-1.409,-1.451,-1.286,-0.433,-0.858,-1.597,-1.751,-1.001,-0.976,-1.12,-1.179,1.318,0.669,-0.078,-1.644
provide them for humanitarian support as they are great in 1991 convention regarding,20,3,2,0,1,2,0,20,2,2,0,0,0,0,-1.497,-0.653,-1.1,-1.031,2.196,0.11,0.473,-1.063,-0.083,-0.924,-1.05,-0.922,2.365,0.612,1.193,-1.101
the status of refugees and I will I will provide 33,25,3,2,0,1,1,0,25,2,2,0,0,0,0,-1.3,-1.151,-1.372,-1.332,0.226,-0.849,0.942,-1.265,-1.365,-1.222,-1.149,-1.332,-0.359,-0.798,-2.225,-1.722
reason for the first of first and foremost South Korea has signed the 1991 conventions on the status,30,3,2,0,1,1,0,30,2,2,0,0,0,0,-1.456,-1.159,-1.468,-1.248,-0.562,0.252,-0.321,-1.073,-1.522,-1.554,-1.281,-1.405,-0.582,-0.544,-2.046,-1.944
of refugees and therefore South Korea should be able to should fully applies to,35,3,2,0,1,1,0,35,2,2,0,0,0,0,-0.457,-0.824,-1.156,-0.685,0.621,-0.072,1.499,-0.767,-1.295,-0.746,-1.222,-1.013,1.702,0.738,0.313,-1.109
to to act as accordingly to this Refugee,40,3,2,0,1,1,0,40,2,2,0,0,0,0,-1.453,-1.526,-1.406,-1.277,0.025,-0.729,-1.637,-1.746,-1.347,-1.47,-1.406,-1.196,-0.681,-0.543,-2.499,-1.85
convention this is this is especially important since South Korea,45,3,2,0,1,1,0,45,2,2,0,0,0,0,-1.252,-1.102,-1.356,-1.282,0.392,-0.12,-0.752,-1.228,-0.032,0.075,-0.219,-0.81,2.349,8.598,0.722,0.278
is fully capable to it's very stable and fully capable to accept,50,3,2,0,1,1,0,50,2,2,0,0,0,0,-1.291,-0.689,-1.45,-1.27,-0.665,-1.046,-0.584,-1.382,-1.556,-1.274,-1.437,-1.243,-0.514,-0.829,-2.507,-1.998
very small number of 500 refugees and,55,2,2,0,1,1,0,55,2,2,0,0,0,0,-1.204,-1.072,-1.337,-1.289,0.146,-0.542,-0.502,-1.839,-1.066,-1.249,-1.164,-1.291,0.277,0.611,0.039,-1.615
refugees also and South Korea has been locked in sand the political,60,3,2,0,1,1,0,60,2,2,0,0,0,0,-1.163,-1.051,-1.384,-1.273,-0.742,-0.637,-0.432,-1.521,-1.347,-1.132,-0.432,-1.341,1.369,0.294,1.049,-0.743
decisions of politicians to change their stance if there is not it's not,65,2,2,0,1,1,0,65,2,2,0,0,0,0,-1.547,-0.892,-1.355,-1.163,-0.103,-0.676,0.622,-1.31,-1.622,-1.485,-1.556,-1.424,-0.504,-0.563,-2.821,-1.846
following the convention also the yemeni Christ also the yemenis crisis,70,2,2,0,1,2,0,70,2,2,0,0,0,0,-1.438,-1.528,-1.511,-1.345,-0.635,-0.987,-1.218,-1.719,-0.034,0.507,-1.082,-0.436,7.336,2.017,-1.245,-1.324
should not be ignored by the International Community and in the sense of many South Koreans who think,75,2,2,0,1,2,0,75,2,2,0,0,0,0,-1.237,-1.384,-1.421,-1.256,-0.432,-0.466,-1.327,-1.628,-1.114,-1.153,-1.102,-1.265,1.654,0.914,-1.137,-1.421
that you can be ignored refugees only not accepting Berkeley engineering,80,3,2,0,1,1,0,80,2,2,0,0,0,0,-1.233,-1.094,-1.271,-1.15,-0.411,-0.809,-0.728,-1.685,-1.269,-0.849,-0.888,-1.171,1.13,1.254,-0.342,-1.441
you jeez I know what,85,3,2,0,1,2,0,85,2,2,0,0,0,0,-0.937,0.088,-1.222,-0.901,-0.028,0.041,-0.793,-1.04,-1.069,-1.398,-1.005,-1.307,0.223,0.322,-1.626,-1.64
should not be,90,2,2,0,1,2,0,90,2,2,0,0,0,0,-1.393,-1.143,-1.326,-1.225,-0.784,-0.986,0.656,-1.731,-1.678,-1.48,-1.396,-1.4,-0.513,-0.854,-2.867,-2.014
angered by the international community's no we're not were not accepting refugees,95,3,2,0,1,2,0,95,2,2,0,0,0,0,-0.387,-0.039,-0.644,-0.717,5.241,3.52,0.854,0.591,-1.562,-1.444,-1.381,-1.364,0.03,0.556,-1.711,-1.693
only a short title answer to sell that terrified only satisfies the,100,2,2,0,1,1,0,100,1,2,0,0,0,0,-1.262,-0.886,-1.02,-1.183,2.487,0.244,-0.298,-1.232,1.59,3.528,-0.25,-0.222,9.948,5.232,0.713,0.877
fear-mongering population yet South Korea should get,105,2,2,0,1,2,0,105,1,2,0,0,0,0,-0.964,-1.043,-1.238,-1.306,-0.189,-0.548,0.116,-1.432,-1.176,-0.989,-0.858,-1.166,0.318,3.291,-0.123,-1.361
should,110,3,2,0,1,1,0,110,1,2,0,0,0,0,-1.254,-1.278,-1.187,-1.165,-0.132,0.037,-0.359,-1.402,-1.197,-1.223,-1.329,-1.365,0.15,-0.351,-0.905,-1.842
disagree with your assertions first of all he said that,115,3,2,0,1,1,0,115,2,2,0,0,0,0,-1.265,-1.296,-1.453,-1.228,-0.728,-0.767,2.257,-1.591,-1.445,-1.503,-1.497,-1.265,-0.321,-0.799,-2.755,-1.896
